s.no,H.S code,Commodity,Year,Export_qty,Export_value(in cr.),Import_qty,Import_value(in cr.)
1,74,COPPER AND ARTICLES THEREOF,2017-2018,"51,14,98,042","22,034.05","71,00,36,409","29,058.24"
,,,2018-2019,"13,45,74,413","7,003.04","83,92,27,273","36,872.62"
,,,2019-2020,"14,10,33,856","6,060.05","89,65,02,450","36,101.82"
,,,2020-2021,"20,94,91,964","10,208.78","74,46,50,957","34,149.92"
,,,2021-2022,"24,75,43,214","17,138.70","82,36,04,861","52,594.14"
,,,2022-2023,"18,54,42,971","13,470.85","95,07,73,112","61,248.79"
,,,2023-2024,"25,76,22,628","19,172.37","1,18,00,25,675","76,437.69"
,,,2024-2025,"21,74,09,184","17,551.94","1,22,16,66,317","90,850.32"
