S.No.,HSCode,Commodity,Year,Export_qty,Export_value(in cr.),Import_qty,Import_value(in cr.)
1,2504,natural graphite,2017-2018,"9,09,563",7.76,"3,98,63,580",148.79
,,,2018-2019,"4,04,606",2.3,"4,70,53,100",232.89
,,,2019-2020,"6,08,850",3.26,"4,14,05,375",186.32
,,,2020-2021,"7,19,544",4.3,"4,01,50,788",180.82
,,,2021-2022,"7,67,723",4.7,"5,40,52,104",265.16
,,,2022-2023,"22,39,915",12,"4,59,93,795",293.95
,,,2023-2024,"7,09,834",6.33,"5,47,84,065",320.31
,,,2024-2025,"18,39,146",16.08,"6,03,45,075",355.64
