s.no,H.S code,Commodity,Year,Export_qty,Export_value(in cr.),Import_qty,Import_value(in cr.)
1,3801,ARTFCL GRPHT-COLDL/SEMI-COLDL GRPHT-PRPNS BSD ON GRPHT/OTHR CRBN IN..,2017-2018,"2,36,92,656",213.56,"6,72,22,471",625.03
,,,2018-2019,"3,15,93,844",374.55,"6,82,87,640",673.93
,,,2019-2020,"2,47,46,650",355.59,"4,75,12,355",487.07
,,,2020-2021,"2,17,50,348",282,"5,43,29,294",542.24
,,,2021-2022,"2,82,26,182",409.1,"7,56,59,623",812.58
,,,2022-2023,"2,95,22,766",413.69,"8,27,20,706","1,200.89"
,,,2023-2024,"3,34,84,998",490.12,"10,18,85,690","1,279.66"
,,,2024-2025,"5,39,36,464",512.74,"11,82,44,314","1,077.98"
