s.no,H.S code,Commodity,Year,Export_qty,Export_value(in cr.),Import_qty,Import_value(in cr.)
1,2603,COPPER ORES AND CONCERTRATES,2017-2018,"6,10,05,006",380.55,"1,48,81,60,000","27,834.48"
,,COPPER ORES AND CONCERTRATES,2018-2019,"18,16,41,936","1,662.76","82,39,37,984","12,146.20"
,,COPPER ORES AND CONCERTRATES,2019-2020,"21,26,59,151","2,045.09","82,15,55,008","8,667.52"
,,COPPER ORES AND CONCERTRATES,2020-2021,"8,24,62,788",768.94,"41,51,36,000","5,907.16"
,,COPPER ORES AND CONCERTRATES,2021-2022,"3,48,26,633",396.45,"1,01,89,40,032","22,381.43"
,,COPPER ORES AND CONCERTRATES,2022-2023,"2,63,36,002",243.54,"1,17,89,19,936","27,374.43"
,,COPPER ORES AND CONCERTRATES,2023-2024,"2,31,87,547",243.03,"1,01,63,00,032","25,951.23"
,,COPPER ORES AND CONCERTRATES,2024-2025,"1,64,25,614",196.83,"1,17,55,90,016","32,557.60"
